ROI,PN,Brush (2 of 3),VF0.16 (any),VF2.0 (any),AirPuff (2of3),Cold (any),Heat (Any),Cut. Input
444.031,,1,0,1,0,0,0,1
444.032,,0,0,1,0,0,1,1
444.034,,0,1,1,0,1,1,1
444.035,,1,0,1,0,0,1,1
444.036,,0,1,1,0,0,1,1
444.037,,0,1,1,0,0,0,1
444.038,,0,0,1,0,0,0,1
444.039,,0,0,1,0,0,1,1
444.041,1,0,0,1,0,0,0,1
444.042,,1,1,1,0,1,1,1
444.043,,1,1,1,0,1,1,1
444.044,,1,1,1,1,1,1,1
444.045,,0,1,1,0,0,1,1
444.046,,0,1,1,0,1,1,1
444.047,,0,0,1,0,0,0,1
444.048,,0,0,1,0,0,0,1
444.049,,0,1,1,0,0,0,1
444.050,,1,1,1,0,1,1,1
444.051,,0,1,1,0,1,1,1
444.052,,0,1,1,0,1,1,1
444.053,,1,0,1,0,0,0,1
444.054,,0,1,1,0,1,1,1
444.055,,0,1,1,0,0,1,1
444.056,,0,1,1,0,1,1,1
444.057,,0,1,1,0,0,0,1
444.058,,0,0,1,0,0,0,1
444.059,,1,0,1,0,0,1,1
444.060,,0,0,1,0,0,0,1
444.061,1,0,0,1,0,0,0,1
444.062,,0,0,1,0,0,1,1
444.063,,1,1,1,0,0,1,1
444.064,,1,1,1,0,0,1,1
444.065,,1,1,1,0,0,1,1
444.066,,1,0,1,0,0,0,1
444.067,,0,0,1,0,1,1,1
444.068,1,0,0,1,0,0,0,1
444.069,,0,1,1,0,0,1,1
444.070,,1,1,1,0,0,1,1
444.071,,0,1,1,0,1,0,1
444.072,,1,0,1,0,0,0,1
444.073,,0,0,1,0,1,0,1
444.074,,0,1,1,0,1,1,1
444.075,,1,0,1,0,0,0,1
444.076,,0,0,1,0,1,1,1
444.077,,0,0,1,0,0,0,1
444.078,,0,0,1,0,0,0,1
444.079,,0,1,1,0,1,1,1
444.080,,1,1,1,0,1,1,1
444.081,,0,0,1,0,0,0,1
444.082,,1,1,1,0,1,1,1
444.083,,1,1,1,0,1,1,1
444.085,,0,0,1,0,0,1,1
444.086,,0,1,1,0,0,1,1
444.087,,0,1,1,0,1,1,1
444.088,,0,1,1,0,0,1,1
444.089,,0,1,1,0,1,1,1
444.091,,0,1,1,0,1,1,1
444.092,,0,1,1,0,0,1,1
444.093,,1,1,1,0,1,0,1
444.094,,0,0,1,0,0,1,1
444.095,,0,1,1,0,0,1,1
444.096,,1,1,1,0,0,0,1
444.097,,0,1,0,0,1,1,1
444.098,,1,1,1,0,0,0,1
444.099,,1,1,1,0,1,1,1
444.100,,0,0,1,0,0,0,1
444.101,,0,1,0,0,0,1,1
444.102,,0,0,1,0,0,1,1
444.103,,1,1,1,0,1,1,1
444.104,,1,1,1,0,0,1,1
444.105,,0,0,1,0,0,1,1
444.106,,0,1,1,0,0,1,1
444.107,,0,1,1,0,0,1,1
444.108,,1,1,1,1,1,1,1
444.109,,1,1,1,1,1,0,1
444.110,,0,0,1,1,1,1,1
444.111,,0,1,1,1,1,1,1
444.112,,1,0,1,0,1,1,1
444.113,,0,1,1,0,1,1,1
